OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
4879,1439620,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1251,1582124400000
4880,1439621,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0123,1581337800000
4881,1439622,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,1579413600000
4882,1439623,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0336,1582169400000
4883,1439624,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0103,1582242600000
4884,1439625,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0306,1582211400000
4885,1439626,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1621,1582178400000
4886,1439627,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0336,1582210800000
4887,1439628,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1036,1582187700000
4888,1439629,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1399,1579102200000
4889,1439630,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0856,1582041600000
4890,1439631,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0788,1582180200000
4891,1439632,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0778,1582222500000
4892,1439633,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0103,1582189200000
4893,1439634,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0334,1582180200000
4894,1439635,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1635,1582178400000
4895,1439636,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,5,5A,1365,1582076880000
4896,1439637,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5A,1503,1582098720000
4897,1439638,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1614,1582123800000
4898,1439639,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1614,1582123800000
4899,1439640,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1399,1581908400000
4900,1439641,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1422,1581782400000
4901,1439642,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1084,1581858000000
4902,1439643,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,4,4A,0934,1582045200000
4903,1439644,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6A,1081,1582023480000
4904,1439645,2399,2,LARCENY,484 PC PETTY THEFT,6,6A,1011,1581615000000
4905,1439646,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1364,1581500580000
4906,1439647,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0318,1581725700000
4907,1439648,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0748,1581240600000
4908,1439649,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0344,1581987600000
4909,1439650,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0766,1581926400000
4910,1439653,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4B,1354,1582243980000
4911,1439657,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,5,5B,1603,1582258500000
4912,1439659,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,1623,1582253940000
4913,1439661,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,5,5C,1606,1582249140000
4914,1439662,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0767,1582246260000
4915,1439663,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5A,1364,1582244520000
4916,1439666,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0766,1580598000000
4917,1439668,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6A,1015,1582257000000
4918,1439671,2699,22,FRAUD,498(B)(1) DIVERT UTILITIES,6,6E,1126,1582245360000
4919,1439676,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1654,1582252200000
4920,1439677,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2C,0628,1581805860000
4921,1439682,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4A,0927,1582185600000
4922,1439683,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5C,1624,1582221600000
4923,1439684,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0333,1582220160000
4924,1439687,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0102,1582225500000
4925,1439688,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,5,5B,1621,1581785400000
4926,1439689,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0934,1582021500000
4927,1439690,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1084,1582259400000
4928,1439691,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0956,1581500100000
4929,1439693,2602,0,FRAUD,FRAUD-SWINDLE,4,4C,1287,1582135200000
4930,1439694,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0774,1581561240000
4931,1439696,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0725,1582073640000
4932,1439698,5212,68,WEAPON OFFENSE,25850(A) LOADED GUN IN PUB-F,4,4B,0969,1582166220000
4933,1439699,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1401,1582141980000
4934,1439700,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0701,1582146000000
4935,1439701,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0957,1581720300000
4936,1439702,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,0768,1582081200000
4937,1439703,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4A,0917,1581105000000
4938,1439704,2602,0,FRAUD,FRAUD-SWINDLE,5,5B,1622,1582140600000
4939,1439705,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0404,1581623100000
4940,1439706,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0965,1582136520000
4941,1439707,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6B,1019,1581885300000
4942,1439708,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1A,0136,1582021200000
4943,1439709,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3M,0754,1581469200000
4944,1439710,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6D,0835,1582113600000
4945,1439711,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0102,1582174800000
4946,1439712,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,4,4C,1287,1581881040000
4947,1439713,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0336,1582153200000
4948,1439714,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0435,1581921000000
4949,1439715,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0102,1582174800000
4950,1439716,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,0619,1582150020000
4951,1439719,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0505,1581546300000
4952,1439720,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1279,1582164000000
4953,1439722,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5A,1522,1581811200000
4954,1439723,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0918,1582176600000
4955,1439724,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0116,1577865600000
4956,1439725,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4C,1295,1581705000000
4957,1439726,2310,0,LARCENY,1708 US THEFT OF MAIL,1,1A,0344,1582222860000
4958,1439728,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2B,0564,1582049700000
4959,1439729,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6E,0877,1581105600000
4960,1439730,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,0766,1582102680000
4961,1439731,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3A,0725,1582072080000
4962,1439732,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6B,1019,1582092300000
4963,1439733,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3B,0767,1581818400000
4964,1439735,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,5,5C,1623,1582087680000
4965,1439739,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2C,0602,1581746400000
4966,1439740,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6D,0832,1582002000000
4967,1439741,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6B,1084,1582155000000
4968,1439742,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,0831,1581377100000
4969,1439743,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,3,3B,0748,1582005600000
4970,1439744,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6C,1112,1582042800000
4971,1439746,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,3,3M,0742,1582298460000
4972,1439747,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0752,1582168020000
4973,1439748,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0336,1582182000000
4974,1439750,2299,09,BURGLARY,459 PC BURG UNSPECIFIED-FEL,2,2B,0523,1582171200000
4975,1439752,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1A,0306,1582185900000
4976,1439756,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,UI,UI,UI,1582264200000
4977,1439760,2604,0,FRAUD,529 PC FALSE PERSONATION,6,6B,1401,1582288380000
4978,1439763,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6B,1401,1582188300000
4979,1439764,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,5,5C,1606,1582323960000
4980,1439765,3802,2,AGG ASSAULT,368(B)(1)ENDANGER HEALTH/ELDER,2,2A,0233,1582109100000
4981,1439768,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1A,0333,1582179720000
4982,1439769,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,3,3M,0754,1582263720000
4983,1439770,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,1,1A,0144,1582217160000
4984,1439776,3560,4,NARCOTICS,11359(C) POSS MARIJ FOR SALE-F,2,2C,0625,1582147200000
4985,1439783,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3A,0715,1582313400000
4986,1439785,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1412,1582248600000
4987,1439789,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,UI,UI,UI,1582212600000
4988,1439790,2999,35,VANDALISM,594(A)(2) VANDALISM-DAMAGE,1,1B,0422,1581634800000
4989,1439792,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6D,0811,1582045020000
4990,1439793,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6A,1031,1582074900000
4991,1439794,2399,2,LARCENY,484 PC PETTY THEFT,3,3A,0724,1582182540000
4992,1439796,5212,01,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,6,6D,0841,1582227780000
4993,1439798,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,1,1C,0447,1582314720000
4994,1439799,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,0746,1582340520000
4995,1439802,5011,0,OBST JUDICIARY,3056 PAROLE VIOLATION,3,3B,0786,1582300860000
4996,1439805,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0901,1582326600000
4997,1439807,5499,41,TRAFFIC,12500(A) UNLICENSED DRIVER,4,4A,0901,1582147260000
4998,1439808,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3A,0725,1582303740000
4999,1439811,7399,98,SAC CITY CODE,12.52.040(A) STOR PER PROP-PUB,6,6C,1409,1582305360000
5000,1439814,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,2,2B,0563,1581987600000
5001,1439815,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6A,1001,1582126200000
5002,1439816,5707,0,PRIVACY,602 PC TRESPASS,3,3M,0744,1582215120000
5003,1439819,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,1336,1582169640000
5004,1439822,2399,2,LARCENY,484 PC PETTY THEFT,4,4A,0918,1582207320000
5005,1439823,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,2,2C,0602,1582252140000
5006,1439829,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0306,1582193460000
5007,1439830,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1113,1582164000000
5008,1439831,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0336,1582227360000
5009,1439832,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0336,1582169400000
5010,1439836,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6E,1116,1582296480000
5011,1439838,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3M,0744,1581216360000
5012,1439841,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1147,1582250400000
5013,1439843,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,6,6C,1147,1582250400000
5014,1439845,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6D,0802,1582099200000
5015,1439846,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1A,0102,1582195800000
5016,1439847,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1A,0303,1582168020000
5017,1439848,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6D,0832,1582187400000
5018,1439849,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2B,0563,1582192200000
5019,1439850,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1A,0348,1582177500000
5020,1439851,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1A,0306,1582185600000
5021,1439854,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,4,4B,0958,1582326720000
5022,1439856,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0855,1582238700000
5023,1439858,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1036,1582212300000
5024,1439859,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1C,0417,1582215600000
5025,1439860,2310,0,LARCENY,1708 US THEFT OF MAIL,5,5A,1501,1581548400000
5026,1439862,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6A,1042,1582027200000
5027,1439863,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3B,0788,1582102800000
5028,1439864,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1B,0421,1582192800000
5029,1439865,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0421,1581237300000
5030,1439866,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,5,5B,1399,1581387900000
5031,1439868,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,5,5C,1606,1582328460000
5032,1439877,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0226,1579792620000
5033,1439878,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3M,0754,1582163040000
5034,1439879,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0728,1582333620000
5035,1439880,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,3,3B,0777,1582346820000
5036,1439881,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6D,0841,1582351380000
5037,1439882,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,1582335000000
5038,1439889,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,2,2B,0564,1582324980000
5039,1439890,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,UI,UI,UI,1582247580000
5040,1439892,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2B,0537,1582334520000
5041,1439893,2099,2,ARSON,451(B) PC ARSON OF INHAB STRUC,3,3B,0737,1582365420000
5042,1439894,2099,2,ARSON,451(B) PC ARSON OF INHAB STRUC,3,3B,0738,1582365300000
5043,1439896,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,0738,1582366560000
5044,1439897,5404,01,TRAFFIC,23152(B) DUI BAC >.08,2,2B,0551,1580701200000
5045,1439899,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,2,2B,0564,1582344000000
5046,1439900,2099,2,ARSON,451(B) PC ARSON OF INHAB STRUC,3,3B,0738,1582363500000
5047,1439901,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,0736,1582372680000
5048,1439916,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1621,1581735600000
5049,1439917,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0564,1582300800000
5050,1439918,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0564,1582300800000
5051,1439919,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0564,1582300800000
5052,1439920,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0564,1582300800000
5053,1439921,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4B,1326,1580126700000
5054,1439922,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6B,1421,1580185260000
5055,1439923,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,2,2B,0537,1580491800000
5056,1439924,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,3,3A,0703,1580404500000
5057,1439925,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,3,3A,0701,1580401800000
5058,1439926,7000,61,INCIDENT RPT,TOWED/STORED VEH-14602.6,2,2A,0237,1580407200000
5059,1439931,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,UI,UI,UI,1580383800000
5060,1439932,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6B,1084,1581740400000
5061,1439933,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6C,1141,1582238100000
5062,1439935,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5C,1642,1581987600000
5063,1439936,0999,1,HOMICIDE,187(A) HOMICIDE,1,1C,0447,1582365240000
5064,1439937,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6B,1084,1582344000000
5065,1439938,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,6,6E,1101,1582343400000
5066,1439939,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,4,4C,1251,1582239600000
5067,1439940,2299,09,BURGLARY,459 PC BURG UNSPECIFIED-FEL,3,3M,0735,1582353000000
5068,1439945,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0504,1580435100000
5069,1439946,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0517,1580440380000
5070,1439947,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,4,4C,1209,1580370900000
5071,1439949,2999,37,VANDALISM,594(A)(3) VANDALISM-DESTROY,6,6B,1006,1582333920000
5072,1439950,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6D,0861,1582399740000
5073,1439951,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0724,1582396620000
5074,1439952,3599,43,NARCOTICS,11532(A)HS LOITER DRG ACTIVITY,3,3M,0734,1582390620000
5075,1439953,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,6,6A,1032,1582350000000
5076,1439955,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,1582366320000
5077,1439956,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,1582369080000
5078,1439957,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,1582369380000
5079,1439958,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1C,0405,1582369800000
5080,1439959,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,1582363380000
5081,1439960,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,1582358880000
5082,1439963,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,1623,1582358040000
5083,1439970,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,2,2B,0563,1582077420000
5084,1439971,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,5,5A,1363,1582189740000
5085,1439973,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,1,1B,0442,1582282920000
5086,1439974,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0747,1582351620000
5087,1439975,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0145,1582352520000
5088,1439976,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,1639,1582311960000
5089,1439977,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0313,1582360680000
5090,1439978,1299,3,ROBBERY,212.5(A)ROBBERY-INHAB DWELLING,5,5C,1642,1582374600000
5091,1439979,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,1582380360000
5092,1439980,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4C,1274,1582251900000
5093,1439984,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6A,1081,1582338540000
5094,1439985,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4C,1311,1582388760000
5095,1439986,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4A,0957,1579282380000
5096,1439987,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0766,1582215900000
5097,1439988,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2A,0216,1582163400000
5098,1439989,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4B,0958,1582074000000
5099,1439990,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,4,4A,0956,1582245000000
5100,1439991,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,0905,1582250400000
5101,1439992,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1633,1582422300000
5102,1439994,2299,09,BURGLARY,459 PC BURG UNSPECIFIED-FEL,3,3M,0735,1582353000000
5103,1439996,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1B,0422,1582128420000
5104,1439997,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0216,1582121280000
5105,1439998,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3A,0725,1582319460000
5106,1439999,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0523,1582402860000
5107,1440002,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0553,1582402860000
5108,1440009,5011,0,OBST JUDICIARY,3056 PAROLE VIOLATION,3,3M,0735,1582407360000
5109,1440016,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5C,1647,1582367520000
5110,1440017,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,0545,1582285440000
5111,1440018,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,1,1A,0333,1582315080000
5112,1440020,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5C,1639,1582218660000
5113,1440021,5499,143,TRAFFIC,2800.2(A) VC EVADE RECKLES-FEL,2,2A,0505,1582267860000
5114,1440023,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2C,0603,1582302180000
5115,1440024,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,2,2B,0545,1582439040000
5116,1440026,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0237,1582358400000
5117,1440027,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,3,3B,0746,1582332300000
5118,1440028,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0732,1582336140000
5119,1440029,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0734,1582450680000
5120,1440030,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0738,1582421400000
5121,1440031,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6B,1084,1582427220000
5122,1440035,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,3,3M,0731,1582441800000
5123,1440036,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0766,1582220040000
5124,1440037,2303,2,LARCENY,487(A) GRAND THEFT-SHOPLIFT,5,5C,1639,1582423140000
5125,1440040,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2A,0232,1582420860000
5126,1440041,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,0619,1582358400000
5127,1440043,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1386,1582320600000
5128,1440044,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0558,1582349400000
5129,1440046,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5A,1386,1582413600000
5130,1440048,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,5,5A,1522,1582420140000
5131,1440049,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0440,1582356600000
5132,1440050,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6A,1034,1582407240000
5133,1440053,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0725,1582401000000
5134,1440054,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0527,1582347600000
5135,1440055,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0232,1582391220000
5136,1440058,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5C,1623,1582353000000
5137,1440059,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0767,1582365300000
5138,1440060,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3M,0752,1582323540000
5139,1440061,1299,3,ROBBERY,212.5(A)ROBBERY-INHAB DWELLING,5,5A,1501,1582361760000
5140,1440062,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1113,1582277640000
5141,1440063,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,4,4B,0989,1582447380000
5142,1440064,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4B,0966,1582363080000
5143,1440065,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,4,4A,0937,1582438620000
5144,1440066,3599,36,NARCOTICS,11364.1(A) POSS UNLAWFUL PARAP,4,4B,0958,1582414260000
5145,1440067,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0305,1582430400000
5146,1440068,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1653,1582464600000
